76ed0640-32e6-477c-bbf5-27318bb0b376	13
2d5157cf-0991-4d65-b771-d3afac77fcc0	19
192fd380-303f-4dff-9f40-18be3dc49e84	17
735eee11-5ad7-4965-8968-e2ce3b7227db	1734103	26
594a1cef-ec06-4dd1-8668-bdcb397ebf59	27488	1
e8509ef6-852d-4c79-bce1-b06e83000675	822142	6
54d463e8-b611-4d4b-b2c3-fc61f308baf5	1392588	19
c02d29b7-982b-41b3-8c13-e8b559087412	974262	13
ea508942-54ff-469a-bf0b-a3aefffa18e2	804812	12
964d8331-d3f1-4e5a-a44d-9c5f636395a8	845175	9
44f1eb81-468b-4aed-9b98-edf6d94ac86e	1546496	24
add580aa-f21f-4eb5-a5e7-55c76c912ec0	1900956	24
3443ee24-af97-4178-b324-215ce2b0a659	1552749	34
54b53467-3aa1-4bb3-82a2-72f9346abf96	748952	23
bd4fb942-8e5a-4bfe-8845-3b981b60d8e7	35229	5
